_cfg,DecisionTree | LDA | default,DecisionTree | LDA | gwo,DecisionTree | PCA | default,DecisionTree | PCA | gwo,LogReg | LDA | default,LogReg | LDA | gwo,LogReg | PCA | default,LogReg | PCA | gwo,MLP | LDA | default,MLP | LDA | gwo,MLP | PCA | default,MLP | PCA | gwo,QDT | LDA | default,QDT | LDA | gwo,QDT | PCA | default,QDT | PCA | gwo,QNN | LDA | default,QNN | LDA | gwo,QNN | PCA | default,QNN | PCA | gwo,QSVC | LDA | default,QSVC | LDA | gwo,QSVC | PCA | default,QSVC | PCA | gwo,RandomForest | LDA | default,RandomForest | LDA | gwo,RandomForest | PCA | default,RandomForest | PCA | gwo,SVC | LDA | default,SVC | LDA | gwo,SVC | PCA | default,SVC | PCA | gwo,VQC | LDA | default,VQC | LDA | gwo,VQC | PCA | default,VQC | PCA | gwo,XGBoost | LDA | default,XGBoost | LDA | gwo,XGBoost | PCA | default,XGBoost | PCA | gwo
DecisionTree | LDA | default,1.0,0.9737248461970719,0.9999999999958402,0.9999999999927489,0.8860543551601363,0.09082310358419521,0.2921001625680032,0.18961230011095487,0.6477007037177462,0.8143012306039006,0.7117880908071181,0.4866653840876871,0.9921313873593086,0.9965408846737664,0.7712221898613587,0.9141879188022486,0.8782057331692292,0.9204145957120496,0.17411687608441706,0.9554742443512282,0.9999999999996037,0.4734064677078661,0.9996062501732411,0.999882814101709,1.0,0.5201317926985698,0.9977973974357214,0.2612720784857885,0.40877429738360305,0.10522306254629443,0.21466443678863578,0.04586492759096894,1.0,0.8481811441807405,0.972357735858385,0.6278522690764947,0.9999999999986816,0.7362207180914567,1.0,0.8615318429258151
MLP | PCA | gwo,0.4866653840876871,0.9999999999999699,0.037701729283244334,0.9904887365770983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00023778393494355843,0.0003839331412486269,7.585005336374628e-06,3.167001454196239e-05,1.0,1.0,1.0,0.9999999999999994,0.04714814746852347,1.0,0.0010461310629571452,0.9999994736127387,0.803948302837618,1.0,0.9999999987255047,1.0,1.0,1.0,1.0,0.999999999999462,0.11308355487615929,1.0,9.623898454957924e-05,1.0,0.9863501575684538,1.0,0.5741450712934941,1.0
QDT | LDA | default,0.9921313873593086,0.010202859856323743,0.9999999969799251,0.5066994618254642,0.003121947857689933,5.759391021875615e-06,6.30999803551413e-05,2.4348881993985216e-05,0.0006135473974315797,0.0017576681455382381,0.0008995380773545447,0.00023778393494355843,1.0,1.0,1.0,1.0,0.002908833428755586,0.004424506669587602,2.0407760454643764e-05,0.0071103556110675425,0.9999999846775287,0.00021931788801354823,1.0,0.08009309677380727,0.9076411989709317,0.00029068229692996717,0.033633083725350676,4.8823708505896235e-05,0.00014578495353334553,7.585005336374628e-06,3.167001454196239e-05,1.7010732180633426e-06,0.9999957291426692,0.002265484641066906,1.0,0.0005462292352566012,0.547112561831895,0.0010461310629571452,0.9828541328239607,0.0025228498956374468
QDT | LDA | gwo,0.9965408846737664,0.014947683094138742,0.9999999997967114,0.5876410058274886,0.004739462854150722,9.96626678162471e-06,0.00010463125023452147,4.1094547711395535e-05,0.0009702144449162953,0.0027094048355295053,0.0014097797513484833,0.0003839331412486269,1.0,1.0,0.9999999999999994,1.0,0.004424506669587602,0.006651115945738195,3.4552174395630075e-05,0.010537896148528625,0.9999999987255047,0.00035471988820190425,1.0,0.10779296326325916,0.9422128347788545,0.0004673426639520972,0.04714814746852358,8.135333978731563e-05,0.00023778393494355843,1.3064758065617355e-05,5.3196129999766306e-05,3.0025130119959442e-06,0.99999927735281,0.0034691686115595477,1.0,0.000866057902383921,0.6278522690764947,0.0016335845976975794,0.9916123558025707,0.003852216885562809
QDT | PCA | default,0.7712221898613587,0.0005902763762843932,0.9996421332663765,0.11308355487615929,0.00014578495353334553,1.180612814177806e-07,1.7010732180633426e-06,5.863524654703411e-07,2.2294314153237238e-05,7.476713338205876e-05,3.4552174395630075e-05,7.585005336374628e-06,1.0,0.9999999999999994,1.0,1.0,0.00013423910863552546,0.00021931788801354823,4.815619516485015e-07,0.0003839331412486269,0.9992512540322374,6.921612574206648e-06,0.999999999996864,0.007598728878249861,0.4471831641810591,9.52444288271348e-06,0.0025228498956374468,1.2760555132551588e-06,4.3631413759737114e-06,1.6021390059073326e-07,7.863407842645387e-07,3.065487885756113e-08,0.9904887365770983,0.00010035084689896667,1.0,1.9523304900626037e-05,0.13020087738579722,4.1094547711395535e-05,0.6929663371675099,0.00011372425271671815
QDT | PCA | gwo,0.9141879188022486,0.0019605516721488137,0.9999903675657753,0.22801075110018298,0.0005253966567324575,5.863524654703411e-07,7.585005336374628e-06,2.7329488487826126e-06,8.849571737412631e-05,0.00027927541509198406,0.00013423910863552546,3.167001454196239e-05,1.0,1.0,1.0,1.0,0.0004859789917213142,0.0007725661226763991,2.2625385593944003e-06,0.0013090530346742124,0.9999734756967217,2.9020596499451656e-05,1.0,0.02097236579385331,0.660800165062535,3.935503072705071e-05,0.007598728878249861,5.759391021875615e-06,1.8675960432590344e-05,7.863407842645387e-07,3.621281062127224e-06,1.6021390059073326e-07,0.9991076647726631,0.00036905075686732847,1.0,7.799338387581845e-05,0.25634011658771794,0.0001582801102661957,0.8658218175198076,0.00041543322212633793
QNN | LDA | default,0.8782057331692292,1.0,0.1936362470634836,0.9999734756967217,1.0,0.9999999896655217,0.9999999999999947,0.9999999999944995,1.0,1.0,1.0,1.0,0.002908833428755586,0.004424506669587602,0.00013423910863552546,0.0004859789917213142,1.0,1.0,0.9999999999836826,1.0,0.22801075110018265,1.0,0.010537896148528625,0.9999999999998449,0.9871268608042217,1.0,1.0,0.9999999999999578,1.0,0.9999999969799251,0.9999999999990188,0.99999901398864,0.4150874722090573,1.0,0.0013090530346742124,1.0,0.9999460863397469,1.0,0.9234091295600461,1.0
QNN | LDA | gwo,0.9204145957120496,1.0,0.24665570133336134,0.9999943693426898,1.0,0.9999999020035647,0.999999999999709,0.9999999998746243,1.0,1.0,1.0,1.0,0.004424506669587602,0.006651115945738195,0.00021931788801354823,0.0007725661226763991,1.0,1.0,0.9999999996736654,1.0,0.28681693539459796,1.0,0.015422069234702462,0.9999999999999974,0.9939477071030552,1.0,1.0,0.9999999999982343,0.9999999999999998,0.9999999670905271,0.9999999999723816,0.9999943693426898,0.49332574231229653,1.0,0.0020329409154027367,1.0,0.999987498668795,1.0,0.953437533361643,1.0
QNN | PCA | default,0.17411687608441706,0.9999999427486086,0.00621944028523469,0.8658218175198076,0.9999999999723816,1.0,1.0,1.0,1.0,0.999999999999709,0.9999999999999994,1.0,2.0407760454643764e-05,3.4552174395630075e-05,4.815619516485015e-07,2.2625385593944003e-06,0.9999999999836826,0.9999999996736654,1.0,0.9999999930852043,0.00811787999624769,1.0,0.00010463125023452147,0.9993739853378032,0.4342446395174383,1.0,0.9999792570805729,1.0,1.0,1.0,1.0,1.0,0.023654894744146726,0.9999999999976431,7.585005336374628e-06,1.0,0.8388851926252757,0.9999999999999974,0.22801075110018298,0.9999999999944995
QNN | PCA | gwo,0.9554742443512282,1.0,0.31935977182559305,0.99999927735281,1.0,0.99999901398864,0.9999999999836826,0.9999999969799251,1.0,1.0,1.0,0.9999999999999994,0.0071103556110675425,0.010537896148528625,0.0003839331412486269,0.0013090530346742124,1.0,1.0,0.9999999930852043,1.0,0.3657315969607535,0.9999999999999988,0.023654894744146726,1.0,0.9977973974357214,0.9999999999999999,1.0,0.9999999999234677,0.9999999999999578,0.9999996189662607,0.9999999991831008,0.9999662442001213,0.5876410058274886,1.0,0.003349605418691781,1.0,0.9999981969348287,1.0,0.9763005370900478,1.0
QSVC | LDA | default,0.9999999999996037,0.4342446395174383,1.0,0.9993739853378032,0.237212133821449,0.003121947857689933,0.01856629012615163,0.009255480575298347,0.088587539691797,0.1703919890560449,0.11308355487615929,0.04714814746852347,0.9999999846775287,0.9999999987255047,0.9992512540322374,0.9999734756967217,0.22801075110018265,0.28681693539459796,0.00811787999624769,0.3657315969607535,1.0,0.04461208166649189,0.9999999999982343,0.8658218175198076,0.9999999427486086,0.05403986809130812,0.6929663371675099,0.015422069234702462,0.033633083725350676,0.003852216885562809,0.011238381881952475,0.0012151541065080762,1.0,0.19772059699028377,0.99999927735281,0.0821507504590383,0.9996421332663765,0.12428327938661354,0.9999999999836826,0.21033733588324433
