model,reduction,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,f1_ci95_bca
QNN,LDA,gwo,15,0.6842049251128602,0.11502277620841872,"[0.626, 0.742]",0.20054759294661434,0.04097340906667344,"[0.180, 0.221]",0.5125396825396825,0.17404209847289326,"[0.424, 0.601]",0.26569289997159856,0.07223910702903229,"[0.229, 0.302]",0.6095615079365079,0.04300125487364662,"[0.588, 0.631]",0.15661984783684316,0.05656293125949797,"[0.128, 0.185]",0.6593032967032967,0.04167977199453312,"[0.638, 0.680]","[0.212, 0.291]"
QSVC,PCA,gwo,15,0.6158890301341287,0.11472568931095249,"[0.558, 0.674]",0.17863935680430956,0.038974994476346614,"[0.159, 0.198]",0.5858791208791209,0.12791275063470836,"[0.521, 0.651]",0.2649774070020102,0.029826358955095875,"[0.250, 0.280]",0.6028145604395604,0.030151691948035794,"[0.588, 0.618]",0.14194290070236099,0.04534879646973119,"[0.119, 0.165]",0.5546499236874237,0.13728609501080763,"[0.485, 0.624]","[0.253, 0.282]"
XGBoost,LDA,default,15,0.5999389657588944,0.0304207654697564,"[0.585, 0.615]",0.16221805842262813,0.016650595705972097,"[0.154, 0.171]",0.5918681318681319,0.06970224295926071,"[0.557, 0.627]",0.25434894267188773,0.02556165999710171,"[0.241, 0.267]",0.5964340659340658,0.03391959469479585,"[0.579, 0.614]",0.12502545201806908,0.04377041587787091,"[0.103, 0.147]",0.6435084363553113,0.03131396292898502,"[0.628, 0.659]","[0.241, 0.266]"
DecisionTree,PCA,gwo,15,0.60252579083753,0.08575341553141129,"[0.559, 0.646]",0.1638853061758074,0.02633572007695357,"[0.151, 0.177]",0.5808791208791209,0.12464203406290507,"[0.518, 0.644]",0.25319403149097314,0.03485593798999483,"[0.236, 0.271]",0.5931062271062271,0.04092212484286596,"[0.572, 0.614]",0.12393244161597412,0.05485651139795462,"[0.096, 0.152]",0.630253746947497,0.04521687899498625,"[0.607, 0.653]","[0.234, 0.269]"
XGBoost,PCA,default,15,0.5840859531609055,0.024623289376690886,"[0.572, 0.597]",0.15596843382667785,0.014142729815843233,"[0.149, 0.163]",0.5905433455433455,0.05973129785642427,"[0.560, 0.621]",0.24660578206989567,0.02202428147984581,"[0.235, 0.258]",0.5868966727716727,0.029996820214014102,"[0.572, 0.602]",0.11205912062192432,0.038581016432961315,"[0.093, 0.132]",0.6212016826923078,0.03496903976825959,"[0.604, 0.639]","[0.233, 0.256]"
RandomForest,LDA,default,15,0.6024478886552911,0.026412365755336908,"[0.589, 0.616]",0.15741312550605366,0.017510928648576667,"[0.149, 0.166]",0.5610012210012211,0.05998770513434049,"[0.531, 0.591]",0.2457101289821357,0.02650636725791644,"[0.232, 0.259]",0.5844172771672772,0.03408532825789149,"[0.567, 0.602]",0.10977747435830906,0.04440983320537797,"[0.087, 0.132]",0.6303090773809524,0.0357072567118632,"[0.612, 0.648]","[0.233, 0.258]"
DecisionTree,LDA,default,15,0.595063886308447,0.03972370295453983,"[0.575, 0.615]",0.15611995263297346,0.01564147848230927,"[0.148, 0.164]",0.564981684981685,0.04497222552437968,"[0.542, 0.588]",0.24417786646329528,0.02050183245389794,"[0.234, 0.255]",0.5819908424908425,0.025515927948987563,"[0.569, 0.595]",0.10678416006448593,0.03413146943532157,"[0.090, 0.124]",0.5819908424908425,0.025515927948987566,"[0.569, 0.595]","[0.235, 0.254]"
VQC,LDA,default,15,0.5862254925927738,0.05581237234173332,"[0.558, 0.614]",0.14875106862485662,0.01996890918461616,"[0.139, 0.159]",0.5457936507936508,0.106672114730344,"[0.492, 0.600]",0.23269700910503108,0.030955654958815672,"[0.217, 0.248]",0.5686468253968254,0.039794610348328686,"[0.549, 0.589]",0.0895636236074518,0.051795991523321615,"[0.063, 0.116]",0.5686010302197801,0.06115625926450631,"[0.538, 0.600]","[0.221, 0.251]"
DecisionTree,PCA,default,15,0.5626294431134797,0.03196036306583826,"[0.546, 0.579]",0.1459324655214538,0.009745683453091344,"[0.141, 0.151]",0.5732844932844933,0.03174546610546813,"[0.557, 0.589]",0.23242209756125198,0.012919820706408217,"[0.226, 0.239]",0.5672672466422466,0.017087582525934574,"[0.559, 0.576]",0.08657669692406987,0.022458915532497195,"[0.075, 0.098]",0.5672672466422466,0.01708758252593459,"[0.559, 0.576]","[0.227, 0.240]"
QSVC,LDA,default,15,0.6225903290470836,0.06646015864628742,"[0.589, 0.656]",0.15070421387592525,0.02399399123949856,"[0.139, 0.163]",0.47527472527472525,0.05426190960583916,"[0.448, 0.503]",0.22761981883245377,0.029924621633817802,"[0.212, 0.243]",0.5585123626373627,0.03903477007965655,"[0.539, 0.578]",0.0791718023096353,0.052953420439641234,"[0.052, 0.106]",0.5634188568376068,0.05724913004302554,"[0.534, 0.592]","[0.211, 0.241]"
QSVC,PCA,default,15,0.5060806075718314,0.021503042037053784,"[0.495, 0.517]",0.12757590577465672,0.011181929866920303,"[0.122, 0.133]",0.5648778998778998,0.07172191394238474,"[0.529, 0.601]",0.2080270865631667,0.019524018697503545,"[0.198, 0.218]",0.5316472832722832,0.027091307669560093,"[0.518, 0.545]",0.040485456895699164,0.03471655602217436,"[0.023, 0.058]",0.5108493093711844,0.035563339917581205,"[0.493, 0.529]","[0.197, 0.216]"
QDT,LDA,gwo,15,0.5780335403119347,0.07941627408391115,"[0.538, 0.618]",0.1308707094708167,0.012281364796155334,"[0.125, 0.137]",0.4781013431013431,0.14811046148436732,"[0.403, 0.553]",0.20306024679040183,0.02686309533452636,"[0.189, 0.217]",0.5345923382173383,0.027397961645726214,"[0.521, 0.548]",0.04504243784981425,0.0356013796082751,"[0.027, 0.063]",0.5357103098290599,0.03216557648465922,"[0.519, 0.552]","[0.188, 0.215]"
QDT,LDA,default,15,0.5417358496716048,0.15096555377572532,"[0.465, 0.618]",0.13041604307202853,0.030941046525871745,"[0.115, 0.146]",0.49601953601953597,0.18316684535231187,"[0.403, 0.589]",0.19897373087765965,0.032104193408162965,"[0.183, 0.215]",0.5218014346764347,0.03472863435660538,"[0.504, 0.539]",0.03162927547969327,0.05236681443986197,"[0.005, 0.058]",0.5221684027777778,0.03833751361539557,"[0.503, 0.542]","[0.181, 0.213]"
VQC,PCA,default,15,0.5051933701657458,0.04699549833777916,"[0.481, 0.529]",0.12200130507839674,0.010346798842303282,"[0.117, 0.127]",0.5304212454212455,0.0694362159038145,"[0.495, 0.566]",0.19796243033699265,0.01628097804538947,"[0.190, 0.206]",0.5161689560439561,0.02368276011865449,"[0.504, 0.528]",0.020788762179576613,0.030584366255784604,"[0.005, 0.036]",0.519574855006105,0.03269490854333806,"[0.503, 0.536]","[0.189, 0.205]"
QDT,PCA,gwo,15,0.4685814631920338,0.1556918988396896,"[0.390, 0.547]",0.11715711611918224,0.008852405107328895,"[0.113, 0.122]",0.5494810744810744,0.20507493417423914,"[0.446, 0.653]",0.18781336743418056,0.020617903848557422,"[0.177, 0.198]",0.5038238705738706,0.016780882797923318,"[0.495, 0.512]",0.00579692802592424,0.02299690173523631,"[-0.006, 0.017]",0.5088199213980464,0.016502825138523892,"[0.500, 0.517]","[0.175, 0.196]"
QDT,PCA,default,15,0.5330652390032432,0.1715120022258787,"[0.446, 0.620]",0.1165018216740675,0.012097890046406767,"[0.110, 0.123]",0.46005494505494504,0.22960345958197326,"[0.344, 0.576]",0.17692996724043658,0.029461261965572347,"[0.162, 0.192]",0.5013191391941392,0.021606001503148148,"[0.490, 0.512]",0.0035523470855631737,0.03149623907102205,"[-0.012, 0.019]",0.5044782127594627,0.02448482423980146,"[0.492, 0.517]","[0.158, 0.188]"
