fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
8,DecisionTree,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.604,0.2805017103762828,0.6044226044226044,0.3831775700934579,0.6041573160217228,0.1690188699110899,0.6041573160217227,962,631,161,246,ok,0.0290372000308707,1,Bank Customer Churn,,,,
9,DecisionTree,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.5865,0.2640449438202247,0.5773955773955773,0.3623747108712413,0.5831108458227102,0.1346592829728616,0.5831108458227101,938,655,172,235,ok,0.0334670000011101,1,Bank Customer Churn,,,,
10,DecisionTree,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.5805,0.2649945474372955,0.5955882352941176,0.3667924528301887,0.5861107005616317,0.1392803454440656,0.5861107005616317,918,674,165,243,ok,0.0317360000335611,1,Bank Customer Churn,,,,
11,DecisionTree,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.5755,0.2600652883569097,0.5857843137254902,0.3602110022607385,0.5793243176667653,0.1282824811941291,0.5793243176667653,912,680,169,239,ok,0.036481500021182,1,Bank Customer Churn,,,,
12,DecisionTree,classical,LDA,default,1200,2000,4.00003045797348e-07,{},0.6025,0.2936170212765957,0.6781326781326781,0.4097995545657015,0.6306545374341984,0.2107864673777477,0.6306545374341984,929,664,131,276,ok,0.0450077000423334,1,Bank Customer Churn,,,,
13,DecisionTree,classical,LDA,default,1200,2000,3.00002284348011e-07,{},0.5955,0.2776548672566372,0.6167076167076168,0.3829138062547673,0.6033946118691882,0.1672798009871154,0.6033946118691882,940,653,156,251,ok,0.0437583999591879,1,Bank Customer Churn,,,,
14,DecisionTree,classical,LDA,default,1200,2000,3.00002284348011e-07,{},0.619,0.302118171683389,0.6658476658476659,0.4156441717791411,0.6364392127103992,0.2208972530067574,0.636439212710399,967,626,136,271,ok,0.0369293999974615,1,Bank Customer Churn,,,,
0,RandomForest,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.6035,0.2700119474313022,0.553921568627451,0.3630522088353413,0.5850637993891024,0.1389708773141432,0.6515620381318357,981,611,182,226,ok,0.6334831999847665,1,Bank Customer Churn,,,,
1,RandomForest,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.581,0.2616407982261641,0.5784313725490197,0.3603053435114504,0.580044832003153,0.1296464016999218,0.6466300559168392,926,666,172,236,ok,0.5980529999942519,1,Bank Customer Churn,,,,
2,RandomForest,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.592,0.275027502750275,0.6142506142506142,0.3799392097264438,0.6002828714693121,0.162168885554775,0.6586794807133791,934,659,157,250,ok,0.6577430000179447,1,Bank Customer Churn,,,,
3,RandomForest,classical,LDA,default,1200,2000,3.00002284348011e-07,{},0.6015,0.2705882352941176,0.5651105651105651,0.365950676213206,0.5879539015132236,0.1432622653039406,0.6531099666692888,973,620,177,230,ok,0.6738685999880545,1,Bank Customer Churn,,,,
4,RandomForest,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.5835,0.2601351351351351,0.5675675675675675,0.3567567567567568,0.577569094518247,0.125708583727784,0.6540654676247898,936,657,176,231,ok,0.6603359000291675,1,Bank Customer Churn,,,,
5,RandomForest,classical,LDA,default,1200,2000,1.00000761449337e-07,{},0.599,0.2849344978165939,0.6397058823529411,0.3942598187311178,0.6141368607744605,0.1846269751686869,0.6783426938614641,937,655,147,261,ok,0.6612561999936588,1,Bank Customer Churn,,,,
6,RandomForest,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.586,0.2765957446808511,0.6372549019607843,0.3857566765578635,0.6050596117844123,0.1696487019938279,0.6721467324366932,912,680,148,260,ok,0.6019780000206083,1,Bank Customer Churn,,,,
7,RandomForest,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.606,0.2899669239250275,0.6461916461916462,0.4003044140030441,0.620961485368265,0.1956448745497532,0.6861368302046269,949,644,144,263,ok,0.5807851999998093,1,Bank Customer Churn,,,,
8,RandomForest,classical,LDA,default,1200,2000,2.999440766870976e-07,{},0.595,0.2854100106496273,0.6584766584766585,0.3982169390787518,0.6186294152395848,0.1913978212464366,0.6939875160214144,922,671,139,268,ok,0.5907678000512533,1,Bank Customer Churn,,,,
9,RandomForest,classical,LDA,default,1200,2000,3.00002284348011e-07,{},0.602,0.2766934557979334,0.5921375921375921,0.3771517996870109,0.5983286830744458,0.1596832129467613,0.6768779565389734,963,630,166,241,ok,0.6822430999600329,1,Bank Customer Churn,,,,
10,RandomForest,classical,LDA,default,1200,2000,4.00003045797348e-07,{},0.6205,0.2918149466192171,0.6029411764705882,0.3932853717026379,0.6139705882352942,0.1860132719128406,0.6824356155778895,995,597,162,246,ok,0.6273989999899641,1,Bank Customer Churn,,,,
11,RandomForest,classical,LDA,default,1200,2000,4.00003045797348e-07,{},0.5885,0.2766415500538213,0.6299019607843137,0.3844427823485415,0.6038957040102473,0.1678906872061693,0.6756607793871316,920,672,151,257,ok,0.6406696999911219,1,Bank Customer Churn,,,,
12,RandomForest,classical,LDA,default,1200,2000,4.00003045797348e-07,{},0.6075,0.2904656319290465,0.6437346437346437,0.400305576776165,0.6209884769206804,0.1957828557341436,0.6785606870352633,953,640,145,262,ok,0.6262150999973528,1,Bank Customer Churn,,,,
13,RandomForest,classical,LDA,default,1200,2000,4.00003045797348e-07,{},0.61,0.2813599062133646,0.5896805896805897,0.3809523809523809,0.6024360261648397,0.1667752445053605,0.6771193381362873,980,613,167,240,ok,0.6013537999824621,1,Bank Customer Churn,,,,
14,RandomForest,classical,LDA,default,1200,2000,4.00003045797348e-07,{},0.566,0.2635897435897436,0.6314496314496314,0.3719247467438495,0.5903638615503022,0.1455679041324332,0.6763134474998882,875,718,150,257,ok,0.6421686999965459,1,Bank Customer Churn,,,,
0,MLP,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.706,0.3818897637795275,0.7132352941176471,0.4974358974358974,0.7086905113804316,0.3463350967847806,0.7743804808355502,1121,471,117,291,ok,0.1043697000131942,1,Bank Customer Churn,,,,
1,MLP,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.6955,0.3706563706563706,0.7058823529411765,0.4860759493670886,0.699360774460538,0.3296458275484014,0.7514995319735933,1103,489,120,288,ok,0.0918640000163577,1,Bank Customer Churn,,,,
2,MLP,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.6915,0.3660714285714285,0.7051597051597052,0.4819479429051218,0.6965848745509762,0.3242353549998304,0.7533589059012787,1096,497,120,287,ok,0.0967815999756567,1,Bank Customer Churn,,,,
3,MLP,classical,LDA,default,1200,2000,1.00000761449337e-07,{},0.6975,0.3636363636363636,0.6486486486486487,0.4660194174757281,0.6793149081284675,0.3002606786516819,0.7460804409956953,1131,462,143,264,ok,0.0768988999770954,1,Bank Customer Churn,,,,
4,MLP,classical,LDA,default,1200,2000,2.00001522898674e-07,{},0.698,0.3712418300653595,0.6977886977886978,0.4846416382252559,0.6979213419891386,0.3279166879196517,0.7640799505206285,1112,481,123,284,ok,0.1086018999922089,1,Bank Customer Churn,,,,
