fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
10,QSVC,quantum,LDA,gwo,1200,2000,0.5185318517527252,64,"[0.5126240976822728, 0.5153808482937375, 0.5153808482937375, 0.5185318517527252, 0.5185318517527252, 0.5185318517527252, 0.5185318517527252, 0.5185318517527252]",True,249.8733977000229,"{'C': 0.03307880359111554, 'map_reps': 1, 'scale': 0.39125231763028867, 'entanglement': 'full'}",0.698,0.3623595505617977,0.6323529411764706,0.4607142857142857,0.6735885308897428,0.2921828414532533,0.7374949194501922,1138,454,150,258,ok,6.916269399982411,1,Bank Customer Churn
11,QSVC,quantum,LDA,gwo,1200,2000,0.4834290446848917,64,"[0.47929658907919775, 0.4810290049711076, 0.4810290049711076, 0.4834290446848917, 0.4834290446848917, 0.4834290446848917, 0.4834290446848917, 0.4834290446848917]",True,316.2281574999797,"{'C': 0.8614674656464972, 'map_reps': 2, 'scale': 0.28908899726251414, 'entanglement': 'full'}",0.7175,0.3880171184022825,0.6666666666666666,0.4905320108205591,0.6985971524288107,0.3354602308400868,0.751673502315499,1163,429,136,272,ok,8.246689099993091,1,Bank Customer Churn
12,QSVC,quantum,LDA,gwo,1200,2000,0.4763653351070447,64,"[0.47149161250489247, 0.47149161250489247, 0.4742791464226211, 0.47636533510704476, 0.47636533510704476, 0.47636533510704476, 0.47636533510704476, 0.47636533510704476]",True,321.91408130002674,"{'C': 1.0583927841161833, 'map_reps': 2, 'scale': 0.3894921281017497, 'entanglement': 'full'}",0.68,0.3567035670356703,0.7125307125307125,0.4754098360655737,0.6921096751605227,0.3149297537199624,0.7571762826000114,1070,523,117,290,ok,7.936239100003149,1,Bank Customer Churn
13,QSVC,quantum,LDA,gwo,1200,2000,0.4969662821427995,48,"[0.4922060008608806, 0.49696628214279953, 0.49696628214279953, 0.49696628214279953, 0.49696628214279953, 0.49696628214279953]",True,263.7957208000007,"{'C': 68.46670165380344, 'map_reps': 2, 'scale': 0.5048929040863341, 'entanglement': 'circular'}",0.7255,0.3940298507462687,0.6486486486486487,0.49025069637883,0.6968918070612986,0.3358918847385869,0.7578873172093511,1187,406,143,264,ok,9.950170400028584,1,Bank Customer Churn
14,QSVC,quantum,LDA,gwo,1200,2000,0.4787189443841804,96,"[0.4669401197442345, 0.4716330834657015, 0.4716330834657015, 0.4741284246819302, 0.4741284246819302, 0.47490308861448893, 0.4779508952290345, 0.4779508952290345, 0.4779508952290345, 0.4779508952290345, 0.4787189443841804, 0.4787189443841804]",False,370.1524061000091,"{'C': 100.00000000000013, 'map_reps': 1, 'scale': 0.27281962087620204, 'entanglement': 'circular'}",0.6555,0.3436807095343681,0.7616707616707616,0.4736440030557677,0.6950224492597374,0.3155842028937231,0.7504962589708353,1001,592,97,310,ok,3.8866974000120535,1,Bank Customer Churn
0,VQC,quantum,LDA,pso,1200,2000,0.4582556795925319,96,"[0.45149983147960904, 0.45149983147960904, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319, 0.4582556795925319]",False,1525.9610579999862,"{'n_layers': 3, 'learning_rate': 0.04474524530189401, 'map_reps': 1, 'feature_map': 'zz', 'entanglement': 'circular', 'init_scale': 0.09316581168827798}",0.687,0.3569553805774278,0.6666666666666666,0.4649572649572649,0.6794388609715243,0.2977901336790291,0.7395879520149768,1102,490,136,272,ok,5.4314679999952205,1,Bank Customer Churn
1,VQC,quantum,LDA,pso,1200,2000,0.5066275228039934,95,"[0.5025863425621225, 0.5025863425621225, 0.5025863425621225, 0.502832996419674, 0.502832996419674, 0.5066275228039934, 0.5066275228039934, 0.5066275228039934, 0.5066275228039934, 0.5066275228039934, 0.5066275228039934, 0.5066275228039934]",False,1777.597778299998,"{'n_layers': 5, 'learning_rate': 0.002159554995402928, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.3525477059188151}",0.7295,0.4054054054054054,0.6985294117647058,0.513051305130513,0.717983298847177,0.3679655655670709,0.7823430879889643,1174,418,123,285,ok,5.156517900002655,1,Bank Customer Churn
2,VQC,quantum,LDA,pso,1200,2000,0.4731291776300888,96,"[0.4657273882279644, 0.4727286299756203, 0.4727286299756203, 0.4727286299756203, 0.4731291776300888, 0.4731291776300888, 0.4731291776300888, 0.4731291776300888, 0.4731291776300888, 0.4731291776300888, 0.4731291776300888, 0.4731291776300888]",False,1619.7447022999986,"{'n_layers': 5, 'learning_rate': 0.004285736588525537, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.3600318548987133}",0.678,0.3587604290822407,0.7395577395577395,0.4831460674157303,0.7009150907455992,0.3278314055806094,0.7683631242953276,1055,538,106,301,ok,6.971000399964396,1,Bank Customer Churn
3,VQC,quantum,LDA,pso,1200,2000,0.5032185750299144,96,"[0.49680639611375366, 0.49680639611375366, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144, 0.5032185750299144]",False,1783.6976368000032,"{'n_layers': 5, 'learning_rate': 0.01579897298791534, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.24352210045023276}",0.6825,0.3564231738035264,0.6953316953316954,0.4712739383846794,0.6872766449037635,0.3082015392281789,0.7507538354995982,1082,511,124,283,ok,5.007642800046597,1,Bank Customer Churn
4,VQC,quantum,LDA,pso,1200,2000,0.5116024523901864,96,"[0.5013717024244043, 0.5021582556361305, 0.5058149779735682, 0.5100294246974378, 0.5116024523901864, 0.5116024523901864, 0.5116024523901864, 0.5116024523901864, 0.5116024523901864, 0.5116024523901864, 0.5116024523901864, 0.5116024523901864]",False,1728.5952669000253,"{'n_layers': 5, 'learning_rate': 0.01192565751106456, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.5}",0.7415,0.4174174174174174,0.683046683046683,0.5181733457595527,0.71974054177444,0.3754311033175167,0.7757295045430639,1205,388,129,278,ok,5.871811000048183,1,Bank Customer Churn
