fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
2,DecisionTree,classical,LDA,default,491,123,2.00001522898674e-07,{},0.5853658536585366,0.726027397260274,0.6309523809523809,0.6751592356687898,0.5590659340659341,0.1119161047906684,0.5590659340659341,19,20,31,53,ok,0.0263510000077076,1,Loan Approval,,,,
3,DecisionTree,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6666666666666666,0.8028169014084507,0.6785714285714286,0.7354838709677419,0.6597985347985349,0.3010536444262953,0.6597985347985348,25,14,27,57,ok,0.0346368000027723,1,Loan Approval,,,,
4,DecisionTree,classical,LDA,default,492,122,2.00001522898674e-07,{},0.6967213114754098,0.7974683544303798,0.75,0.7730061349693251,0.6644736842105263,0.31886737333672,0.6644736842105263,22,16,21,63,ok,0.0322252999758347,1,Loan Approval,,,,
5,DecisionTree,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6341463414634146,0.7631578947368421,0.6823529411764706,0.7204968944099379,0.6043343653250774,0.1984279795346595,0.6043343653250774,20,18,27,58,ok,0.0256090000038966,1,Loan Approval,,,,
6,DecisionTree,classical,LDA,default,491,123,1.00000761449337e-07,{},0.6504065040650406,0.8088235294117647,0.6470588235294118,0.7189542483660131,0.6524767801857585,0.2833995577787357,0.6524767801857586,25,13,30,55,ok,0.0284169999649748,1,Loan Approval,,,,
7,DecisionTree,classical,LDA,default,491,123,4.00003045797348e-07,{},0.6341463414634146,0.7671232876712328,0.6666666666666666,0.7133757961783439,0.6153846153846154,0.218626809358515,0.6153846153846153,22,17,28,56,ok,0.0302933999919332,1,Loan Approval,,,,
8,DecisionTree,classical,LDA,default,491,123,4.00003045797348e-07,{},0.7235772357723578,0.8676470588235294,0.7023809523809523,0.7763157894736842,0.7358058608058609,0.4413882177790284,0.7358058608058607,30,9,25,59,ok,0.0331855000113137,1,Loan Approval,,,,
9,DecisionTree,classical,LDA,default,492,122,3.00002284348011e-07,{},0.5901639344262295,0.7575757575757576,0.5952380952380952,0.6666666666666666,0.587092731829574,0.1618741008052097,0.587092731829574,22,16,34,50,ok,0.0380657999776303,1,Loan Approval,,,,
10,DecisionTree,classical,LDA,default,491,123,2.00001522898674e-07,{},0.5853658536585366,0.7236842105263158,0.6470588235294118,0.6832298136645962,0.5472136222910217,0.0897930767923904,0.5472136222910217,17,21,30,55,ok,0.0252665000152774,1,Loan Approval,,,,
11,DecisionTree,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6260162601626016,0.7910447761194029,0.6235294117647059,0.6973684210526315,0.6275541795665635,0.2366979713003957,0.6275541795665635,24,14,32,53,ok,0.0351737000164575,1,Loan Approval,,,,
12,DecisionTree,classical,LDA,default,491,123,4.00003045797348e-07,{},0.6504065040650406,0.7971014492753623,0.6547619047619048,0.7189542483660131,0.6478937728937729,0.2773514273312016,0.6478937728937728,25,14,29,55,ok,0.0340737999649718,1,Loan Approval,,,,
13,DecisionTree,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7479674796747967,0.8955223880597015,0.7142857142857143,0.7947019867549668,0.7673992673992673,0.4997246131191642,0.7673992673992674,32,7,24,60,ok,0.0272107000346295,1,Loan Approval,,,,
14,DecisionTree,classical,LDA,default,492,122,3.00002284348011e-07,{},0.6229508196721312,0.7794117647058824,0.6309523809523809,0.6973684210526315,0.6181077694235588,0.2202361306375849,0.6181077694235588,23,15,31,53,ok,0.0344810999813489,1,Loan Approval,,,,
0,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6666666666666666,0.8235294117647058,0.6588235294117647,0.7320261437908496,0.6715170278637771,0.318788538090192,0.7606811145510837,26,12,29,56,ok,0.4276183000183664,1,Loan Approval,,,,
1,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6341463414634146,0.7941176470588235,0.6352941176470588,0.7058823529411765,0.6334365325077399,0.2480105774672794,0.7577399380804954,24,14,31,54,ok,0.4578990999725647,1,Loan Approval,,,,
2,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6910569105691057,0.8026315789473685,0.7261904761904762,0.7625,0.6707875457875458,0.3271164729303764,0.7194749694749695,24,15,23,61,ok,0.460534599958919,1,Loan Approval,,,,
3,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6341463414634146,0.782608695652174,0.6428571428571429,0.7058823529411765,0.6291208791208791,0.2421458281962812,0.6971916971916972,24,15,30,54,ok,0.451571799989324,1,Loan Approval,,,,
4,RandomForest,classical,LDA,default,492,122,2.00001522898674e-07,{},0.6639344262295082,0.7866666666666666,0.7023809523809523,0.7421383647798742,0.6406641604010025,0.2677104565260577,0.6771616541353384,22,16,25,59,ok,0.3884351999731734,1,Loan Approval,,,,
5,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6341463414634146,0.7941176470588235,0.6352941176470588,0.7058823529411765,0.6334365325077399,0.2480105774672794,0.6578947368421053,24,14,31,54,ok,0.4352501999819651,1,Loan Approval,,,,
6,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7317073170731707,0.8714285714285714,0.7176470588235294,0.7870967741935484,0.7404024767801858,0.4486247607725597,0.8069659442724458,29,9,24,61,ok,0.4088952000020072,1,Loan Approval,,,,
7,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6341463414634146,0.8305084745762712,0.5833333333333334,0.6853146853146853,0.6634615384615385,0.3045099805045114,0.7408424908424909,29,10,35,49,ok,0.3827609000145457,1,Loan Approval,,,,
8,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6422764227642277,0.8225806451612904,0.6071428571428571,0.6986301369863014,0.6625457875457875,0.302563753316337,0.7440476190476191,28,11,33,51,ok,0.4707390000112355,1,Loan Approval,,,,
9,RandomForest,classical,LDA,default,492,122,3.00002284348011e-07,{},0.6639344262295082,0.7945205479452054,0.6904761904761905,0.7388535031847133,0.6478696741854637,0.27937084596083,0.718671679197995,23,15,26,58,ok,0.4457811000174843,1,Loan Approval,,,,
10,RandomForest,classical,LDA,default,491,123,4.00003045797348e-07,{},0.6910569105691057,0.8615384615384616,0.6588235294117647,0.7466666666666667,0.7109907120743034,0.3905925177016277,0.7792569659442725,29,9,29,56,ok,0.4053549999953247,1,Loan Approval,,,,
11,RandomForest,classical,LDA,default,491,123,4.00003045797348e-07,{},0.6585365853658537,0.7529411764705882,0.7529411764705882,0.7529411764705882,0.6001547987616099,0.2003095975232198,0.6529411764705881,17,21,21,64,ok,0.4537604000070132,1,Loan Approval,,,,
12,RandomForest,classical,LDA,default,491,123,4.00003045797348e-07,{},0.6504065040650406,0.7971014492753623,0.6547619047619048,0.7189542483660131,0.6478937728937729,0.2773514273312016,0.7596153846153846,25,14,29,55,ok,0.41080300003523,1,Loan Approval,,,,
13,RandomForest,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6910569105691057,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.6913919413919414,0.3596985069553763,0.7748778998778999,27,12,26,58,ok,0.4621169000165537,1,Loan Approval,,,,
14,RandomForest,classical,LDA,default,492,122,3.00002284348011e-07,{},0.7049180327868853,0.8636363636363636,0.6785714285714286,0.76,0.7208646616541354,0.4105080613945066,0.8203320802005013,29,9,27,57,ok,0.4047138000023551,1,Loan Approval,,,,
0,MLP,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7317073170731707,0.8333333333333334,0.7647058823529411,0.7975460122699386,0.7113003095975232,0.4053944810212863,0.838390092879257,25,13,20,65,ok,0.0972240000264719,1,Loan Approval,,,,
1,MLP,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7560975609756098,0.8021978021978022,0.8588235294117647,0.8295454545454546,0.6925696594427244,0.4056238042420862,0.7835913312693499,20,18,12,73,ok,0.0746527000446803,1,Loan Approval,,,,
2,MLP,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6504065040650406,0.7808219178082192,0.6785714285714286,0.7261146496815286,0.6341575091575091,0.254197044214464,0.7075702075702076,23,16,27,57,ok,0.1188368000439368,1,Loan Approval,,,,
