_cfg,DecisionTree | LDA | default,DecisionTree | LDA | gwo,DecisionTree | PCA | default,DecisionTree | PCA | gwo,LogReg | LDA | default,LogReg | LDA | gwo,LogReg | PCA | default,LogReg | PCA | gwo,MLP | LDA | default,MLP | LDA | gwo,MLP | PCA | default,MLP | PCA | gwo,QDT | LDA | default,QDT | LDA | gwo,QDT | PCA | default,QDT | PCA | gwo,QNN | LDA | default,QNN | LDA | gwo,QNN | PCA | default,QNN | PCA | gwo,QSVC | LDA | default,QSVC | LDA | gwo,QSVC | PCA | default,QSVC | PCA | gwo,RandomForest | LDA | default,RandomForest | LDA | gwo,RandomForest | PCA | default,RandomForest | PCA | gwo,SVC | LDA | default,SVC | LDA | gwo,SVC | PCA | default,SVC | PCA | gwo,VQC | LDA | default,VQC | LDA | gwo,VQC | PCA | default,VQC | PCA | gwo,XGBoost | LDA | default,XGBoost | LDA | gwo,XGBoost | PCA | default,XGBoost | PCA | gwo
DecisionTree | LDA | default,1.0,0.9996062501732411,0.9234091295600458,0.9993150549322,0.9999995517935828,0.997431734621697,0.9999999313935625,0.9965408846737664,0.999987498668795,0.9939477071030552,0.5000043643559638,0.3657315969607535,0.025863994951078717,0.02295693362132578,0.9234091295600458,0.08009309677380727,0.9998551191068358,0.9999999999019166,0.686607604535203,0.999999999996864,0.4602413272923641,0.3421405831091747,0.7986646268244456,0.9786736216891574,1.0,0.9939477071030552,0.7986646268244456,0.9263252129114337,0.736220718091457,0.2815912077440589,0.9234091295600458,0.9999999997421158,0.9109547792932047,0.46681133808774966,0.5066994618254639,0.9995671813860185,1.0,0.9593481301346601,0.961187607206532,0.08009309677380727
MLP | PCA | gwo,0.3657315969607535,0.0005053219210999771,0.9999999999999947,0.9999993827622907,0.0037203519807512686,0.00021060765377145518,0.9979626590020889,0.9999999813974146,0.0016335845976975794,0.00012880043850527212,1.0,1.0,0.9999999999992721,0.9999999999976431,0.9999999999999947,1.0,0.0007435913038598141,0.014947683094138742,1.0,0.9679236984751041,1.0,1.180612814177806e-07,1.0,0.9999999999723816,0.21033733588324433,0.00012880043850527212,1.0,0.9999999999999925,2.3721705706414298e-06,6.707120769888775e-08,0.9999999999999947,0.9871268608042217,0.9999999999999988,3.2385451320671166e-07,1.0,0.9999986627082825,0.26127207848578826,3.0317377710420423e-05,0.9999999999990188,1.0
QDT | LDA | default,0.025863994951078717,3.975446124515614e-06,0.9999243073122084,0.9709360384932517,4.47986985511184e-05,1.404740511246061e-06,0.6866076045352041,0.9904887365770983,1.6341870383351775e-05,7.863407842645387e-07,0.9999999997967114,0.9999999999992721,1.0,1.0,0.9999243073122084,1.0,6.3146233745259295e-06,0.000257732300824709,0.9999999313935625,0.3962648860275988,0.9999999999537743,2.4978408230680316e-10,0.9999984460557076,0.9988466579074913,0.010202859856323743,7.863407842645387e-07,0.9999984460557076,0.9999154305617493,7.639025412231604e-09,1.3162182455062066e-10,0.9999243073122084,0.5066994618254642,0.9999519595576247,7.858560469031772e-10,0.9999999997421158,0.9629636830592438,0.014486580949416794,1.4474684073562116e-07,0.9996062501732411,1.0
QDT | LDA | gwo,0.02295693362132578,3.2978319759457975e-06,0.999882814101709,0.9646775675046186,3.768664249648168e-05,1.158869325501577e-06,0.660800165062535,0.987867159749277,1.3664628692122704e-05,6.467710680357897e-07,0.9999999994812259,0.9999999999976431,1.0,1.0,0.999882814101709,1.0,5.251638163894512e-06,0.00021931788801354823,0.9999998609955637,0.3717489552862989,0.9999999998746243,1.980404729096108e-10,0.9999972074421936,0.9983955417897327,0.0089581022123848,6.467710680357897e-07,0.9999972074421936,0.9998696319875133,6.1463725220534116e-09,1.0407985584492963e-10,0.999882814101709,0.4800250493062883,0.9999243073122084,6.260720830653099e-10,0.9999999993482483,0.9554742443512282,0.012768623119439382,1.180612814177806e-07,0.9994283668972179,1.0
QDT | PCA | default,0.9234091295600458,0.015910069685465156,1.0,1.0,0.07417540822457347,0.00785435145789759,0.9999999954110016,1.0,0.039893267251920106,0.005251188337715318,1.0,0.9999999999999947,0.9999243073122084,0.999882814101709,1.0,0.9999997259415971,0.021616080691897577,0.19772059699028377,1.0,0.9999926161190934,1.0,1.3064758065617355e-05,1.0,1.0,0.7986646268244456,0.005251188337715318,1.0,1.0,0.00017896621901913878,7.939413572466414e-06,1.0,0.9999993827622907,1.0,3.167001454196239e-05,1.0,1.0,0.8527110375202365,0.0015746858294324317,1.0,0.9999997259415971
QDT | PCA | gwo,0.08009309677380727,2.5443608800634898e-05,0.9999997259415971,0.9977973974357214,0.0002475659816776332,9.52444288271348e-06,0.8972144990690438,0.9996062501732411,9.623898454957924e-05,5.499833346189753e-06,0.9999999999999992,1.0,1.0,1.0,0.9999997259415971,1.0,3.935503072705071e-05,0.0012612777940954611,0.9999999999927489,0.667303960403603,0.9999999999999999,2.5511832646429866e-09,0.9999999991831008,0.9999838568883811,0.035616391101839784,5.499833346189753e-06,0.9999999991831008,0.9999996765894145,6.707120769888775e-08,1.381359693297668e-09,0.9999997259415971,0.7712221898613587,0.9999998609955637,7.639025412231604e-09,0.9999999999999988,0.9967853267651228,0.04846230849663291,1.1042724683552052e-06,0.999996778136472,1.0
QNN | LDA | default,0.9998551191068358,1.0,0.021616080691897577,0.16311909696966387,1.0,1.0,0.5538707549040766,0.10270267202515693,1.0,1.0,0.0016335845976975794,0.0007435913038598141,6.3146233745259295e-06,5.251638163894512e-06,0.021616080691897577,3.935503072705071e-05,1.0,1.0,0.004424506669587602,0.8243611749716256,0.0013090530346742124,0.9999890194927057,0.008389532086560014,0.04846230849663291,0.9999962879870898,1.0,0.008389532086560014,0.022277467226992642,0.9999999997967114,0.9999572416415569,0.021616080691897577,0.7301890171618115,0.019143268177440942,0.9999993827622907,0.0016945561887521388,0.18174492979450552,0.9999838568883811,1.0,0.03461224038527655,3.935503072705071e-05
QNN | LDA | gwo,0.9999999999019166,0.9999999999999974,0.19772059699028377,0.6542650734560737,1.0,0.999999999996864,0.9629636830592438,0.5201317926985698,1.0,0.9999999999234677,0.028255121197165778,0.014947683094138742,0.000257732300824709,0.00021931788801354823,0.19772059699028377,0.0012612777940954611,1.0,1.0,0.06177785877693964,0.997431734621697,0.023654894744146726,0.979787482378106,0.10023121835657145,0.3363672465000672,0.9999999999999848,0.9999999999234677,0.10023121835657145,0.20186549001710585,0.9998023768599238,0.9646775675046186,0.19772059699028377,0.9916123558025707,0.18174492979450552,0.9939477071030551,0.029094719899361632,0.6866076045352041,0.999999999999462,0.9999999020035647,0.27131408231584275,0.0012612777940954611
QNN | PCA | default,0.686607604535203,0.003121947857689933,1.0,0.9999999999723816,0.01856629012615163,0.0014097797513484833,0.9999857851320557,0.9999999999999185,0.0089581022123848,0.0008995380773545447,1.0,1.0,0.9999999313935625,0.9999998609955637,1.0,0.9999999999927489,0.004424506669587602,0.06177785877693964,1.0,0.9986373761397036,1.0,1.3388946796810686e-06,1.0,1.0,0.4866653840876871,0.0008995380773545447,1.0,1.0,2.2294314153237238e-05,7.863407842645387e-07,1.0,0.9997052402314939,1.0,3.4558837742615367e-06,1.0,0.9999999999019166,0.5606302321767987,0.00023778393494355843,1.0,0.9999999999927489
QNN | PCA | gwo,0.999999999996864,0.7712221898613587,0.9999926161190934,0.9999999999986816,0.9663304901709585,0.6344922584158443,1.0,0.9999999997421158,0.910954779293205,0.5538707549040766,0.9898818854010005,0.9679236984751041,0.3962648860275988,0.3717489552862989,0.9999926161190934,0.667303960403603,0.8243611749716256,0.997431734621697,0.9986373761397036,1.0,0.9855358014565169,0.01973635119446082,0.9997581661610528,0.9999999020035647,0.9999999954110016,0.5538707549040766,0.9997581661610528,0.9999935477839162,0.10522306254629443,0.014038438720493596,0.9999926161190934,1.0,0.999987498668795,0.035616391101839784,0.9904887365770983,0.999999999999709,0.9999999995880513,0.3363672465000672,0.99999927735281,0.667303960403603
QSVC | LDA | default,0.4602413272923641,0.0008995380773545447,1.0,0.9999999523102548,0.00621944028523469,0.0003839331412486269,0.9994283668972179,0.9999999991831008,0.002807460198090639,0.00023778393494355843,1.0,1.0,0.9999999999537743,0.9999999998746243,1.0,0.9999999999999999,0.0013090530346742124,0.023654894744146726,1.0,0.9855358014565169,1.0,2.522263080617648e-07,1.0,0.9999999999996037,0.2815912077440581,0.00023778393494355843,1.0,1.0,4.7874286438487346e-06,1.4474684073562116e-07,1.0,0.9950659666189392,1.0,6.79213154053393e-07,1.0,0.9999998831863158,0.3421405831091737,5.7944597504300255e-05,0.9999999999999925,0.9999999999999999
