fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
5,QSVC,quantum,LDA,gwo,1200,10962,0.2599288316840942,56,"[0.2432301153612629, 0.2495016853991213, 0.2599288316840942, 0.2599288316840942, 0.2599288316840942, 0.2599288316840942, 0.2599288316840942]",True,160.67070869996678,"{'C': 0.010000000000000004, 'map_reps': 1, 'scale': 0.3505635525206637, 'entanglement': 'circular'}",0.7521437693851487,0.1669779604034366,0.4785867237687366,0.2475768485184159,0.628104690165182,0.1664965293014204,0.3182977918786712,7798,2230,487,447,ok,33.412856800016016,1,HR Promotion
6,QSVC,quantum,LDA,gwo,1200,10962,0.2383612495385751,96,"[0.21683816660395996, 0.21683816660395996, 0.22212178898977863, 0.2268532445208423, 0.23382790049456714, 0.23442314659245453, 0.23773544667493426, 0.23773544667493426, 0.23773544667493426, 0.2383612495385751, 0.2383612495385751, 0.2383612495385751]",False,244.83372830000008,"{'C': 0.03830968994585285, 'map_reps': 1, 'scale': 0.3786240777740512, 'entanglement': 'circular'}",0.8177339901477833,0.2263374485596707,0.4710920770877944,0.305767894371091,0.6605560106220782,0.2347112569481665,0.730991126345163,8524,1504,494,440,ok,22.35373630002141,1,HR Promotion
7,QSVC,quantum,LDA,gwo,1200,10962,0.2872174122174122,72,"[0.22875988146715728, 0.24116914666792746, 0.2513216858086797, 0.26764711491033494, 0.2872174122174122, 0.2872174122174122, 0.2872174122174122, 0.2872174122174122, 0.2872174122174122]",True,211.6403387999744,"{'C': 0.0743899428878926, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'circular'}",0.7744937055281883,0.1896690879741727,0.5032119914346895,0.2754982415005861,0.6514863307791716,0.2022241701656276,0.7114367778784711,8020,2008,464,470,ok,29.598383200005628,1,HR Promotion
8,QSVC,quantum,LDA,gwo,1200,10961,0.2564645781684321,64,"[0.22099480004952335, 0.24028494808696152, 0.2530252543155769, 0.2564645781684321, 0.2564645781684321, 0.2564645781684321, 0.2564645781684321, 0.2564645781684321]",True,164.56785219995072,"{'C': 0.12105971437509795, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'full'}",0.7594197609707144,0.1762917933130699,0.4973204715969989,0.2603085553997195,0.640562908315452,0.1836577844915561,0.7108584708796079,7860,2168,469,464,ok,32.68429860001197,1,HR Promotion
9,QSVC,quantum,LDA,gwo,1200,10961,0.2868275107259669,71,"[0.23553365245909363, 0.28141496947184147, 0.28141496947184147, 0.28141496947184147, 0.2868275107259669, 0.2868275107259669, 0.2868275107259669, 0.2868275107259669, 0.2868275107259669]",True,191.3895223000436,"{'C': 0.011055028240117852, 'map_reps': 1, 'scale': 0.2510781194737604, 'entanglement': 'circular'}",0.7570477146245781,0.1769977595220313,0.5080385852090032,0.2625311548047632,0.6441269910488574,0.1872079049460843,0.2931191377968056,7824,2204,459,474,ok,30.242275599972345,1,HR Promotion
10,QSVC,quantum,LDA,gwo,1200,10962,0.2851228541731157,88,"[0.27583043140080693, 0.27583043140080693, 0.27583043140080693, 0.2816026496593186, 0.2830878296369856, 0.2837014391987164, 0.2851228541731157, 0.2851228541731157, 0.2851228541731157, 0.2851228541731157, 0.2851228541731157]",True,250.05642799998168,"{'C': 0.012527982353146373, 'map_reps': 1, 'scale': 0.28611294903826584, 'entanglement': 'linear'}",0.8399014778325123,0.2370275464445868,0.3961456102783726,0.2965931863727455,0.6386890795707778,0.2215972591452858,0.2881450140890303,8837,1191,564,370,ok,21.83063640003093,1,HR Promotion
11,QSVC,quantum,LDA,gwo,1200,10962,0.2384799371100741,96,"[0.21542929483405548, 0.2204848772012951, 0.22376899236181255, 0.2285342987097373, 0.2300308746168619, 0.23322092436016484, 0.2369612375911809, 0.2369612375911809, 0.23798998120610546, 0.2384799371100741, 0.2384799371100741, 0.2384799371100741]",False,243.80970410001464,"{'C': 0.01354882860626914, 'map_reps': 1, 'scale': 0.28125874735026496, 'entanglement': 'linear'}",0.7293377120963328,0.1730459954969443,0.576017130620985,0.2661390056888449,0.6598175002925428,0.1979733674171183,0.2820366357496654,7457,2571,396,538,ok,22.429810900008302,1,HR Promotion
12,QSVC,quantum,LDA,gwo,1200,10962,0.2245969237431342,64,"[0.22313166280772148, 0.22313166280772148, 0.22447140195371984, 0.22459692374313422, 0.22459692374313422, 0.22459692374313422, 0.22459692374313422, 0.22459692374313422]",True,201.5546350000077,"{'C': 0.5459193960591588, 'map_reps': 1, 'scale': 0.6320317588398576, 'entanglement': 'linear'}",0.6891078270388615,0.1575304540420819,0.6092077087794433,0.2503299604047514,0.6528786848643926,0.1816100985600715,0.7122134575650705,6985,3043,365,569,ok,30.23217289999593,1,HR Promotion
13,QSVC,quantum,LDA,gwo,1200,10961,0.2461531430270412,96,"[0.2250227385552165, 0.23887074588828974, 0.23887074588828974, 0.23887074588828974, 0.24001612819312212, 0.24001612819312212, 0.24032229447461506, 0.24032229447461506, 0.24325521319362362, 0.24615314302704125, 0.24615314302704125, 0.24615314302704125]",False,251.84788319998188,"{'C': 0.16030973888769653, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'linear'}",0.6917252075540553,0.1523592950540079,0.5744908896034298,0.2408447539878679,0.6385617591216192,0.1656530518843337,0.7026281396013991,7046,2982,397,536,ok,21.089808400021862,1,HR Promotion
14,QSVC,quantum,LDA,gwo,1200,10961,0.2154548297049733,80,"[0.2027359422569003, 0.2095305564560995, 0.21333630064058928, 0.21341611668175284, 0.21341611668175284, 0.21545482970497334, 0.21545482970497334, 0.21545482970497334, 0.21545482970497334, 0.21545482970497334]",True,218.3245417000144,"{'C': 0.11981641734286415, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'circular'}",0.6593376516741173,0.1393252639711563,0.579849946409432,0.2246677740863787,0.623291546798653,0.143870683538892,0.6666445421202198,6686,3342,392,541,ok,26.982126499991864,1,HR Promotion
