fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
11,RandomForest,classical,PCA,default,491,123,4.00003045797348e-07,{},0.5121951219512195,0.7358490566037735,0.4588235294117647,0.5652173913043478,0.5452012383900928,0.0843518545689552,0.5797213622291022,24,14,46,39,ok,0.4909858999890275,4,Loan Approval,,,,
12,RandomForest,classical,PCA,default,491,123,4.00003045797348e-07,{},0.5447154471544715,0.7258064516129032,0.5357142857142857,0.6164383561643836,0.549908424908425,0.0928998566520584,0.6130952380952381,22,17,39,45,ok,0.4905443000025116,4,Loan Approval,,,,
13,RandomForest,classical,PCA,default,491,123,4.00003045797348e-07,{},0.6747967479674797,0.8055555555555556,0.6904761904761905,0.7435897435897436,0.6657509157509158,0.3131169243850066,0.7139804639804639,25,14,26,58,ok,0.5180456999805756,4,Loan Approval,,,,
14,RandomForest,classical,PCA,default,492,122,3.00002284348011e-07,{},0.4918032786885246,0.6527777777777778,0.5595238095238095,0.6025641025641025,0.4508145363408521,-0.0926289959071265,0.5029761904761905,13,25,37,47,ok,0.5407507999916561,4,Loan Approval,,,,
0,MLP,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5609756097560976,0.7540983606557377,0.5411764705882353,0.6301369863013698,0.573219814241486,0.135331569115531,0.5721362229102167,23,15,39,46,ok,0.5624225999927148,4,Loan Approval,,,,
1,MLP,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5691056910569106,0.7162162162162162,0.6235294117647059,0.6666666666666666,0.5354489164086688,0.0669145129624364,0.5142414860681115,17,21,32,53,ok,0.6209549999912269,4,Loan Approval,,,,
2,MLP,classical,PCA,default,491,123,1.9994331523776054e-07,{},0.5121951219512195,0.7068965517241379,0.4880952380952381,0.5774647887323944,0.5260989010989011,0.0486579142543328,0.503968253968254,22,17,43,41,ok,0.5349065000191331,4,Loan Approval,,,,
3,MLP,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5447154471544715,0.7916666666666666,0.4523809523809524,0.5757575757575758,0.597985347985348,0.1869441292154087,0.6108058608058607,29,10,46,38,ok,0.5440359000349417,4,Loan Approval,,,,
4,MLP,classical,PCA,default,492,122,2.00001522898674e-07,{},0.4344262295081967,0.6056338028169014,0.5119047619047619,0.5548387096774193,0.3875313283208019,-0.2111926212297598,0.4191729323308271,10,28,41,43,ok,0.4984517999691888,4,Loan Approval,,,,
5,MLP,classical,PCA,default,491,123,2.00001522898674e-07,{},0.4959349593495935,0.7017543859649122,0.4705882352941176,0.5633802816901409,0.5116099071207431,0.0215154585581489,0.5043343653250775,21,17,45,40,ok,0.5386897000134923,4,Loan Approval,,,,
6,MLP,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5121951219512195,0.7272727272727273,0.4705882352941176,0.5714285714285714,0.5379256965944272,0.0704902453358276,0.5383900928792569,23,15,45,40,ok,0.5602684000041336,4,Loan Approval,,,,
7,MLP,classical,PCA,default,491,123,3.00002284348011e-07,{},0.4390243902439024,0.6470588235294118,0.3928571428571428,0.4888888888888889,0.4656593406593406,-0.0648722909637444,0.4768009768009768,21,18,51,33,ok,0.565140699967742,4,Loan Approval,,,,
8,MLP,classical,PCA,default,491,123,4.00003045797348e-07,{},0.5528455284552846,0.6746987951807228,0.6666666666666666,0.6706586826347305,0.4871794871794871,-0.025470548512349,0.601037851037851,12,27,28,56,ok,0.6081012000213377,4,Loan Approval,,,,
9,MLP,classical,PCA,default,492,122,1.00000761449337e-07,{},0.5081967213114754,0.6714285714285714,0.5595238095238095,0.6103896103896104,0.4771303258145363,-0.0428322336197387,0.4978070175438596,15,23,37,47,ok,0.5532909000176005,4,Loan Approval,,,,
10,MLP,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5609756097560976,0.746031746031746,0.5529411764705883,0.6351351351351351,0.5659442724458205,0.1219164864257138,0.5869969040247678,22,16,38,47,ok,0.4659855000209063,4,Loan Approval,,,,
11,MLP,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5447154471544715,0.7101449275362319,0.5764705882352941,0.6363636363636364,0.5250773993808049,0.0466973599298485,0.5374613003095976,18,20,36,49,ok,0.576894199999515,4,Loan Approval,,,,
12,MLP,classical,PCA,default,491,123,4.00003045797348e-07,{},0.5853658536585366,0.7538461538461538,0.5833333333333334,0.6577181208053692,0.5865384615384616,0.1613393998959458,0.6394993894993894,23,16,35,49,ok,0.5291894000256434,4,Loan Approval,,,,
13,MLP,classical,PCA,default,491,123,3.00002284348011e-07,{},0.6178861788617886,0.7681159420289855,0.6309523809523809,0.6928104575163399,0.6103479853479854,0.2069402290613609,0.6086691086691087,23,16,31,53,ok,0.6220887000090443,4,Loan Approval,,,,
14,MLP,classical,PCA,default,492,122,3.00002284348011e-07,{},0.5737704918032787,0.7666666666666667,0.5476190476190477,0.6388888888888888,0.5895989974937343,0.1659942779270561,0.56203007518797,24,14,38,46,ok,0.5097729000262916,4,Loan Approval,,,,
0,XGBoost,classical,PCA,default,491,123,6.00004568696022e-07,{},0.5853658536585366,0.7361111111111112,0.6235294117647059,0.6751592356687898,0.5617647058823529,0.1158564716793519,0.5360681114551084,19,19,32,53,ok,0.653885799983982,4,Loan Approval,,,,
1,XGBoost,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5772357723577236,0.7538461538461538,0.5764705882352941,0.6533333333333333,0.5777089783281734,0.1438572589040477,0.6055727554179566,22,16,36,49,ok,0.6156979000079446,4,Loan Approval,,,,
2,XGBoost,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5609756097560976,0.7419354838709677,0.5476190476190477,0.6301369863013698,0.5686813186813187,0.1278438394294382,0.5732600732600732,23,16,38,46,ok,0.0864433000097051,4,Loan Approval,,,,
