fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,balance,dataset
1,QSVC,quantum,LDA,default,491,123,2.00001522898674e-07,{},0.5121951219512195,0.676056338028169,0.5647058823529412,0.6153846153846154,0.47972136222910217,-0.03793492137878975,0.5278637770897833,15,23,37,48,ok,1.238111199985724,1,undersample,Loan Approval
2,QSVC,quantum,LDA,default,491,123,2.00001522898674e-07,{},0.5691056910569106,0.803921568627451,0.4880952380952381,0.6074074074074074,0.6158424908424909,0.21883586151769804,0.614010989010989,29,10,43,41,ok,1.1816136999987066,1,undersample,Loan Approval
3,QSVC,quantum,LDA,default,491,123,2.00001522898674e-07,{},0.5772357723577236,0.7857142857142857,0.5238095238095238,0.6285714285714286,0.6080586080586081,0.2019435080413061,0.6355311355311355,27,12,40,44,ok,1.1871157999848947,1,undersample,Loan Approval
4,QSVC,quantum,LDA,default,492,122,1.00000761449337e-07,{},0.6639344262295082,0.864406779661017,0.6071428571428571,0.7132867132867133,0.6983082706766917,0.3675411617904485,0.6766917293233082,30,8,33,51,ok,1.2205429000314325,1,undersample,Loan Approval
5,QSVC,quantum,LDA,default,491,123,1.00000761449337e-07,{},0.6585365853658537,0.7866666666666666,0.6941176470588235,0.7375,0.6365325077399381,0.25865213858108665,0.7408668730650154,22,16,26,59,ok,1.2580041000037454,1,undersample,Loan Approval
6,QSVC,quantum,LDA,default,491,123,2.00001522898674e-07,{},0.5772357723577236,0.7538461538461538,0.5764705882352941,0.6533333333333333,0.5777089783281734,0.14385725890404774,0.6160990712074303,22,16,36,49,ok,1.297581800026819,1,undersample,Loan Approval
7,QSVC,quantum,LDA,default,491,123,1.00000761449337e-07,{},0.6178861788617886,0.7936507936507936,0.5952380952380952,0.6802721088435374,0.6309523809523809,0.24382006425628308,0.674908424908425,26,13,34,50,ok,1.2277582999668084,1,undersample,Loan Approval
8,QSVC,quantum,LDA,default,491,123,3.00002284348011e-07,{},0.5121951219512195,0.7222222222222222,0.4642857142857143,0.5652173913043478,0.5398351648351649,0.07470456401800167,0.5541819291819291,24,15,45,39,ok,1.2845355999888852,1,undersample,Loan Approval
9,QSVC,quantum,LDA,default,492,122,3.00002284348011e-07,{},0.5163934426229508,0.7777777777777778,0.4166666666666667,0.5426356589147286,0.5767543859649122,0.1473374059157938,0.5325814536340853,28,10,49,35,ok,1.2075981000089087,1,undersample,Loan Approval
10,QSVC,quantum,LDA,default,491,123,2.00001522898674e-07,{},0.5853658536585366,0.8035714285714286,0.5294117647058824,0.6382978723404256,0.6199690402476781,0.2226224851429693,0.5953560371517028,27,11,40,45,ok,1.1970246999990195,1,undersample,Loan Approval
